peak_name,peak_link,elevation_ft,elevation_m,prominence_ft,prominence_m,isolation_mi,isolation_km,date_climbed,trip_report_link,location,list,ULTRA,P3K,P2K,P1K,STHP,STPP,STIP,STEP,LCL,NE67,ADK46,SE40,NYFT,EAP2K,VT35,CT35,BEL12,OSS10,NHFT,NEK20,LG12,SARN6,FUL3,TUP3
Beacon Hill,https://peakbagger.com/peak.aspx?pid=7171,206,63,206,63,16.3,26.3,2024-08-11,../../../trip_reports/long_covid_reports/2024_08_10-14_northeastern_highpoints.html#beacon,RI,LCL,,,,,,,y,y,y,,,,,,,,,,,,,,,
Round,https://peakbagger.com/peak.aspx?pid=7085,2293,699,135,41,0.3,0.5,2024-08-11,../../../trip_reports/long_covid_reports/2024_08_10-14_northeastern_highpoints.html#frissell,CT,LCL,,,,,,,,,y,,,,,,,,,,,,,,,
Frissell South Slope,https://peakbagger.com/peak.aspx?pid=7083,2382,726,0,0,0,0,2024-08-11,../../../trip_reports/long_covid_reports/2024_08_10-14_northeastern_highpoints.html#frissell,CT,LCL,,,,,y,,,y,y,,,,,,,,,,,,,,,
Burley Hill,https://peakbagger.com/peak.aspx?pid=6764,1321,403,674,205,25.2,40.5,2024-08-10,../../../trip_reports/long_covid_reports/2024_08_10-14_northeastern_highpoints.html#burley,CT,LCL,,,,,,,y,y,y,,,,,,,,,,,,,,,
Beacon Pole Hill,https://peakbagger.com/peak.aspx?pid=6766,552,168,302,92,5.4,8.7,2024-08-10,../../../trip_reports/long_covid_reports/2024_08_10-14_northeastern_highpoints.html#beacon_pole,RI,LCL,,,,,,y,,y,y,,,,,,,,,,,,,,,
Jerimoth Hill,https://peakbagger.com/peak.aspx?pid=6771,812,247,192,59,13.4,21.5,2024-08-10,../../../trip_reports/long_covid_reports/2024_08_10-14_northeastern_highpoints.html#jerimoth,RI,LCL,,,,,y,,,y,y,,,,,,,,,,,,,,,
East Baldplate,https://www.peakbagger.com/peak.aspx?pid=6865,3815,1163,2263,690,3.9,6.3,2024-07-31,../../../trip_reports/northeast_131_reports/2024_07_24-39_eastern_remnants.html#baldplate,ME,NE131,,,y,y,,,,,,,,,,y,,,,,,,,,,
West Baldplate,https://www.peakbagger.com/peak.aspx?pid=6866,3694,1126,267,81,0.6,0.9,2024-07-31,../../../trip_reports/northeast_131_reports/2024_07_24-39_eastern_remnants.html#baldplate,ME,NE131a,,,,,,,,,,,,,,,,,,,,,,,,
Snow,https://www.peakbagger.com/peak.aspx?pid=6794,3960,1207,2320,707,22.7,36.6,2024-07-29,../../../trip_reports/northeast_131_reports/2024_07_24-39_eastern_remnants.html#snow,ME,NE131,,,y,y,,,,,,,,,,y,,,,,,,,,,
Bayle,https://www.peakbagger.com/peak.aspx?pid=25691,1845,562,155,47,0.5,0.8,2024-07-24,../../../trip_reports/northeast_131_reports/2024_07_24-39_eastern_remnants.html#bayle,NH,NE131a,,,,,,,,,,,,,,,,,,y,,,,,,
